alter,demographics,link,name,stadtteil
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '6-8', 'families': 'Mittel', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/am-fenn,Am Fenn,Waldstadt I
,"{'privateHouseholds': '14', 'commercials': '1', 'residentsAge': '45-49', 'durationOfResidence': '6-8', 'families': 'Mittel', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-ii/am-moosfenn,Am Moosfenn,Waldstadt II
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '6-8', 'families': 'Hoch', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/zur-nuthe,Zur Nuthe,Waldstadt I
,"{'privateHouseholds': '67', 'commercials': '0', 'residentsAge': '35-39', 'durationOfResidence': '2-3', 'families': 'k. A.', 'singles': 'Niedrig'}",/orte/deutschland/brandenburg/potsdam/golm/zum-m%C3%BChlenteich,Zum Mühlenteich,Golm
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '50-54', 'durationOfResidence': '6-8', 'families': 'Hoch', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/unter-den-eichen,Unter den Eichen,Waldstadt I
,"{'privateHouseholds': '9', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '6-8', 'families': 'Mittel', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/tiroler-damm,Tiroler Damm,Waldstadt I
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '8-10', 'families': 'Sehr hoch', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/meisenweg,Meisenweg,Waldstadt I
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '50-54', 'durationOfResidence': '8-10', 'families': 'Mittel', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/lisdorf,Lisdorf,Waldstadt I
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '8-10', 'families': 'k. A.', 'singles': 'Niedrig'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/k%C3%A4uzchenweg,Käuzchenweg,Waldstadt I
,"{'privateHouseholds': '9', 'commercials': '0', 'residentsAge': '50-54', 'durationOfResidence': '6-8', 'families': 'Mittel', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/k%C3%A4the-kollwitz-strasse,Käthe-Kollwitz-Str.,Waldstadt I
,"{'privateHouseholds': '3', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '8-10', 'families': 'Sehr hoch', 'singles': 'Mittel'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/kuckucksruf,Kuckucksruf,Waldstadt I
,"{'privateHouseholds': '7', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '6-8', 'families': 'Niedrig', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/johannes-r-becher-strasse,Johannes-R.-Becher-Str.,Waldstadt I
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': 'k. A.', 'durationOfResidence': 'k. A.', 'families': 'k. A.', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/heinrich-mann-allee,Heinrich-Mann-Allee,Waldstadt I
,"{'privateHouseholds': '5', 'commercials': '0', 'residentsAge': '45-49', 'durationOfResidence': '6-8', 'families': 'Mittel', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/friedrich-wolf-strasse,Friedrich-Wolf-Str.,Waldstadt I
,"{'privateHouseholds': '13', 'commercials': '0', 'residentsAge': '55-59', 'durationOfResidence': '6-8', 'families': 'Niedrig', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/erich-weinert-strasse,Erich-Weinert-Str.,Waldstadt I
,"{'privateHouseholds': '1', 'commercials': '0', 'residentsAge': '50-54', 'durationOfResidence': '8-10', 'families': 'Hoch', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/eduard-claudius-strasse,Eduard-Claudius-Str.,Waldstadt I
,"{'privateHouseholds': '6', 'commercials': '0', 'residentsAge': '50-54', 'durationOfResidence': '6-8', 'families': 'Hoch', 'singles': 'Hoch'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/drewitzer-strasse,Drewitzer Str.,Waldstadt I
,"{'privateHouseholds': '19', 'commercials': '0', 'residentsAge': '40-44', 'durationOfResidence': '0-1', 'families': 'k. A.', 'singles': 'k. A.'}",/orte/deutschland/brandenburg/potsdam/waldstadt-i/brunnenallee,Brunnenallee,Waldstadt I
